,image_id,path,height,width,viewpoint,date,timestamp,whale_id,encounter_id,count,fold,image,individual_id
60,train0060,images/train0060.jpg,306,140,top,2018-08-08,2018-08-08 23:50:12,whale052,whale052-000,2,0,train0060.jpg,whale052
61,train0061,images/train0061.jpg,556,177,top,2019-08-28,2019-08-28 12:42:28,whale053,whale053-000,42,0,train0061.jpg,whale053
62,train0062,images/train0062.jpg,377,166,top,2017-08-19,2017-08-19 19:50:07,whale054,whale054-000,2,3,train0062.jpg,whale054
63,train0063,images/train0063.jpg,302,93,top,2019-08-26,2019-08-26 09:35:15,whale008,whale008-001,27,0,train0063.jpg,whale008
64,train0064,images/train0064.jpg,452,183,top,2017-08-19,2017-08-19 21:43:41,whale055,whale055-000,23,0,train0064.jpg,whale055
65,train0065,images/train0065.jpg,392,118,top,2019-08-26,2019-08-26 10:34:30,whale056,whale056-000,16,0,train0065.jpg,whale056
66,train0066,images/train0066.jpg,573,3074,left,2017-08-07,2017-08-07 22:41:45,whale057,whale057-000,6,0,train0066.jpg,whale057
67,train0067,images/train0067.jpg,232,991,right,2017-08-07,2017-08-07 19:43:49,whale058,whale058-000,5,0,train0067.jpg,whale058
68,train0068,images/train0068.jpg,429,130,top,2018-08-30,2018-08-30 00:28:20,whale059,whale059-000,39,0,train0068.jpg,whale059
69,train0069,images/train0069.jpg,622,210,top,2017-08-07,2017-08-07 20:36:52,whale003,whale003-000,28,0,train0069.jpg,whale003
70,train0070,images/train0070.jpg,684,193,top,2018-08-09,2018-08-09 19:10:10,whale060,whale060-000,15,0,train0070.jpg,whale060
71,train0071,images/train0071.jpg,655,217,top,2018-08-09,2018-08-09 19:09:25,whale061,whale061-000,12,0,train0071.jpg,whale061
72,train0072,images/train0072.jpg,413,127,top,2019-08-29,2019-08-29 14:03:44,whale062,whale062-000,76,0,train0072.jpg,whale062
73,train0073,images/train0073.jpg,267,1056,right,2017-08-04,2017-08-04 19:37:58,whale063,whale063-000,2,2,train0073.jpg,whale063
74,train0074,images/train0074.jpg,394,161,top,2017-08-06,2017-08-06 20:23:40,whale064,whale064-000,13,0,train0074.jpg,whale064
75,train0075,images/train0075.jpg,297,75,top,2019-08-31,2019-08-31 20:43:59,whale035,whale035-001,40,0,train0075.jpg,whale035
76,train0076,images/train0076.jpg,382,2151,left,2017-08-07,2017-08-07 22:09:26,whale065,whale065-000,10,0,train0076.jpg,whale065
77,train0077,images/train0077.jpg,483,131,top,2019-08-29,2019-08-29 13:08:03,whale066,whale066-000,92,0,train0077.jpg,whale066
78,train0078,images/train0078.jpg,500,187,top,2019-08-26,2019-08-26 10:31:54,whale067,whale067-000,49,0,train0078.jpg,whale067
79,train0079,images/train0079.jpg,274,114,top,2017-08-03,2017-08-03 17:39:36,whale068,whale068-000,3,0,train0079.jpg,whale068
80,train0080,images/train0080.jpg,512,155,top,2019-07-30,2019-07-30 20:03:28,whale069,whale069-000,24,0,train0080.jpg,whale069
81,train0081,images/train0081.jpg,396,105,top,2019-08-29,2019-08-29 13:08:07,whale024,whale024-000,50,0,train0081.jpg,whale024
82,train0082,images/train0082.jpg,500,191,top,2018-08-10,2018-08-10 21:48:47,whale070,whale070-000,15,0,train0082.jpg,whale070
83,train0083,images/train0083.jpg,712,255,top,2018-08-25,2018-08-25 22:50:57,whale013,whale013-001,51,0,train0083.jpg,whale013
84,train0084,images/train0084.jpg,853,260,top,2018-08-09,2018-08-09 00:25:03,whale071,whale071-000,15,0,train0084.jpg,whale071
85,train0085,images/train0085.jpg,726,232,top,2018-08-08,2018-08-08 18:57:31,whale072,whale072-000,21,0,train0085.jpg,whale072
86,train0086,images/train0086.jpg,457,161,top,2019-08-30,2019-08-30 15:06:40,whale033,whale033-000,16,0,train0086.jpg,whale033
87,train0087,images/train0087.jpg,418,164,top,2019-08-30,2019-08-30 15:08:17,whale033,whale033-000,16,0,train0087.jpg,whale033
88,train0088,images/train0088.jpg,601,224,top,2018-08-30,2018-08-30 00:29:28,whale073,whale073-000,54,0,train0088.jpg,whale073
89,train0089,images/train0089.jpg,257,100,top,2019-08-28,2019-08-28 12:43:44,whale074,whale074-000,13,0,train0089.jpg,whale074
90,train0090,images/train0090.jpg,504,218,top,2018-08-30,2018-08-30 00:24:59,whale075,whale075-000,43,0,train0090.jpg,whale075
91,train0091,images/train0091.jpg,380,155,top,2019-08-05,2019-08-05 18:13:56,whale076,whale076-000,2,1,train0091.jpg,whale076
92,train0092,images/train0092.jpg,754,285,top,2018-08-29,2018-08-29 23:58:19,whale066,whale066-001,92,0,train0092.jpg,whale066
93,train0093,images/train0093.jpg,299,132,top,2019-08-31,2019-08-31 23:34:23,whale077,whale077-000,58,0,train0093.jpg,whale077
94,train0094,images/train0094.jpg,347,176,top,2017-08-04,2017-08-04 00:00:00,whale078,whale078-000,3,1,train0094.jpg,whale078
95,train0095,images/train0095.jpg,371,144,top,2018-08-25,2018-08-25 23:02:54,whale079,whale079-000,2,0,train0095.jpg,whale079
96,train0096,images/train0096.jpg,392,2079,left,2017-08-05,2017-08-05 21:24:33,whale080,whale080-000,9,0,train0096.jpg,whale080
97,train0097,images/train0097.jpg,474,145,top,2017-08-07,2017-08-07 20:38:23,whale081,whale081-000,8,0,train0097.jpg,whale081
98,train0098,images/train0098.jpg,528,170,top,2019-08-29,2019-08-29 13:18:06,whale082,whale082-000,62,0,train0098.jpg,whale082
99,train0099,images/train0099.jpg,288,1527,left,2017-08-04,2017-08-04 20:56:51,whale083,whale083-000,2,0,train0099.jpg,whale083
100,train0100,images/train0100.jpg,418,138,top,2017-08-07,2017-08-07 20:25:22,whale084,whale084-000,21,0,train0100.jpg,whale084
101,train0101,images/train0101.jpg,639,215,top,2018-08-30,2018-08-30 00:16:17,whale053,whale053-001,42,0,train0101.jpg,whale053
102,train0102,images/train0102.jpg,344,99,top,2018-08-10,2018-08-10 21:16:54,whale012,whale012-000,11,1,train0102.jpg,whale012
103,train0103,images/train0103.jpg,367,135,top,2019-08-26,2019-08-26 11:50:47,whale085,whale085-000,6,0,train0103.jpg,whale085
104,train0104,images/train0104.jpg,263,120,top,2019-08-30,2019-08-30 15:20:32,whale086,whale086-000,8,0,train0104.jpg,whale086
105,train0105,images/train0105.jpg,470,178,top,2018-08-28,2018-08-28 02:27:05,whale087,whale087-000,25,0,train0105.jpg,whale087
106,train0106,images/train0106.jpg,289,121,top,2018-08-30,2018-08-30 00:41:37,whale088,whale088-000,13,0,train0106.jpg,whale088
107,train0107,images/train0107.jpg,331,102,top,2019-08-05,2019-08-05 16:40:00,whale089,whale089-000,11,0,train0107.jpg,whale089
108,train0108,images/train0108.jpg,184,1221,left,2017-08-05,2017-08-05 22:45:46,whale090,whale090-000,2,1,train0108.jpg,whale090
109,train0109,images/train0109.jpg,583,174,top,2018-08-10,2018-08-10 23:26:24,whale056,whale056-001,16,0,train0109.jpg,whale056
110,train0110,images/train0110.jpg,287,1663,right,2017-08-07,2017-08-07 20:34:38,whale091,whale091-000,22,0,train0110.jpg,whale091
111,train0111,images/train0111.jpg,667,234,top,2017-08-19,2017-08-19 20:07:09,whale059,whale059-001,39,0,train0111.jpg,whale059
112,train0112,images/train0112.jpg,387,143,top,2018-08-28,2018-08-28 02:17:42,whale092,whale092-000,11,0,train0112.jpg,whale092
113,train0113,images/train0113.jpg,487,144,top,2018-08-10,2018-08-10 22:45:25,whale015,whale015-001,100,0,train0113.jpg,whale015
114,train0114,images/train0114.jpg,409,160,top,2019-08-29,2019-08-29 13:08:12,whale093,whale093-000,106,0,train0114.jpg,whale093
115,train0115,images/train0115.jpg,602,213,top,2017-08-22,2017-08-22 22:16:21,whale094,whale094-000,2,2,train0115.jpg,whale094
116,train0116,images/train0116.jpg,413,154,top,2019-08-26,2019-08-26 09:33:22,whale027,whale027-000,24,0,train0116.jpg,whale027
117,train0117,images/train0117.jpg,240,86,top,2019-08-26,2019-08-26 10:47:37,whale095,whale095-000,5,0,train0117.jpg,whale095
118,train0118,images/train0118.jpg,339,140,top,2019-08-29,2019-08-29 13:48:29,whale096,whale096-000,15,0,train0118.jpg,whale096
119,train0119,images/train0119.jpg,539,192,top,2018-08-10,2018-08-10 23:57:34,whale097,whale097-000,17,0,train0119.jpg,whale097
120,train0120,images/train0120.jpg,474,193,top,2019-07-30,2019-07-30 20:06:34,whale098,whale098-000,22,0,train0120.jpg,whale098
121,train0121,images/train0121.jpg,307,100,top,2019-08-28,2019-08-28 12:17:03,whale009,whale009-001,34,0,train0121.jpg,whale009
122,train0122,images/train0122.jpg,219,1488,right,2017-08-05,2017-08-05 21:23:40,whale099,whale099-000,5,0,train0122.jpg,whale099
123,train0123,images/train0123.jpg,433,150,top,2018-08-10,2018-08-10 22:42:39,whale100,whale100-000,6,0,train0123.jpg,whale100
124,train0124,images/train0124.jpg,574,215,top,2017-08-07,2017-08-07 20:40:25,whale003,whale003-000,28,0,train0124.jpg,whale003
125,train0125,images/train0125.jpg,696,180,top,2018-08-30,2018-08-30 00:23:52,whale066,whale066-001,92,0,train0125.jpg,whale066
126,train0126,images/train0126.jpg,197,64,top,2019-08-29,2019-08-29 14:50:54,whale101,whale101-000,3,0,train0126.jpg,whale101
127,train0127,images/train0127.jpg,272,93,top,2019-08-29,2019-08-29 12:52:00,whale102,whale102-000,4,0,train0127.jpg,whale102
128,train0128,images/train0128.jpg,637,208,top,2018-08-09,2018-08-09 00:25:18,whale103,whale103-000,12,0,train0128.jpg,whale103
129,train0129,images/train0129.jpg,362,116,top,2019-08-26,2019-08-26 10:32:35,whale035,whale035-000,40,0,train0129.jpg,whale035
130,train0130,images/train0130.jpg,288,109,top,2019-08-05,2019-08-05 17:38:20,whale104,whale104-000,4,0,train0130.jpg,whale104
131,train0131,images/train0131.jpg,401,134,top,2019-08-26,2019-08-26 11:41:10,whale105,whale105-000,6,0,train0131.jpg,whale105
132,train0132,images/train0132.jpg,581,164,top,2018-08-12,2018-08-12 01:37:11,whale106,whale106-000,5,0,train0132.jpg,whale106
133,train0133,images/train0133.jpg,745,209,top,2018-08-29,2018-08-29 23:58:36,whale107,whale107-000,31,0,train0133.jpg,whale107
134,train0134,images/train0134.jpg,377,103,top,2019-08-29,2019-08-29 14:50:54,whale108,whale108-000,38,0,train0134.jpg,whale108
135,train0135,images/train0135.jpg,502,192,top,2017-08-04,2017-08-04 21:16:23,whale072,whale072-001,21,0,train0135.jpg,whale072
136,train0136,images/train0136.jpg,704,240,top,2017-08-07,2017-08-07 20:38:20,whale093,whale093-001,106,0,train0136.jpg,whale093
137,train0137,images/train0137.jpg,381,104,top,2017-08-04,2017-08-04 00:00:00,whale064,whale064-001,13,0,train0137.jpg,whale064
138,train0138,images/train0138.jpg,477,180,top,2018-08-09,2018-08-09 19:02:07,whale109,whale109-000,18,0,train0138.jpg,whale109
139,train0139,images/train0139.jpg,662,201,top,2018-08-10,2018-08-10 22:47:45,whale110,whale110-000,38,0,train0139.jpg,whale110
140,train0140,images/train0140.jpg,393,169,top,2018-08-09,2018-08-09 19:11:29,whale109,whale109-000,18,0,train0140.jpg,whale109
141,train0141,images/train0141.jpg,313,2262,right,2017-08-07,2017-08-07 20:34:43,whale062,whale062-001,76,0,train0141.jpg,whale062
142,train0142,images/train0142.jpg,521,152,top,2019-08-29,2019-08-29 13:08:20,whale066,whale066-000,92,0,train0142.jpg,whale066
143,train0143,images/train0143.jpg,595,197,top,2018-08-29,2018-08-29 02:54:51,whale111,whale111-000,14,0,train0143.jpg,whale111
144,train0144,images/train0144.jpg,507,164,top,2019-08-05,2019-08-05 18:17:21,whale112,whale112-000,37,0,train0144.jpg,whale112
145,train0145,images/train0145.jpg,615,228,top,2017-08-07,2017-08-07 22:08:23,whale113,whale113-000,28,0,train0145.jpg,whale113
146,train0146,images/train0146.jpg,479,152,top,2017-08-05,2017-08-05 23:01:17,whale090,whale090-001,2,2,train0146.jpg,whale090
147,train0147,images/train0147.jpg,280,87,top,2019-08-29,2019-08-29 14:51:10,whale114,whale114-000,2,2,train0147.jpg,whale114
148,train0148,images/train0148.jpg,571,197,top,2018-08-25,2018-08-25 22:33:56,whale025,whale025-000,9,0,train0148.jpg,whale025
149,train0149,images/train0149.jpg,259,153,top,2018-08-29,2018-08-29 23:48:04,whale115,whale115-000,45,0,train0149.jpg,whale115
150,train0150,images/train0150.jpg,564,167,top,2017-08-07,2017-08-07 20:40:09,whale084,whale084-000,21,0,train0150.jpg,whale084
151,train0151,images/train0151.jpg,318,66,top,2019-08-26,2019-08-26 10:32:28,whale035,whale035-000,40,0,train0151.jpg,whale035
152,train0152,images/train0152.jpg,232,101,top,2019-08-28,2019-08-28 12:16:46,whale116,whale116-000,14,0,train0152.jpg,whale116
153,train0153,images/train0153.jpg,672,154,top,2018-08-30,2018-08-30 00:24:08,whale066,whale066-001,92,0,train0153.jpg,whale066
154,train0154,images/train0154.jpg,326,136,top,2018-08-29,2018-08-29 22:32:53,whale117,whale117-000,3,0,train0154.jpg,whale117
155,train0155,images/train0155.jpg,591,192,top,2017-08-19,2017-08-19 20:12:35,whale064,whale064-002,13,0,train0155.jpg,whale064
156,train0156,images/train0156.jpg,294,96,top,2018-08-30,2018-08-30 00:40:02,whale066,whale066-001,92,0,train0156.jpg,whale066
157,train0157,images/train0157.jpg,411,186,top,2018-08-25,2018-08-25 22:22:49,whale028,whale028-000,59,0,train0157.jpg,whale028
158,train0158,images/train0158.jpg,345,83,top,2019-08-26,2019-08-26 18:32:27,whale118,whale118-000,33,0,train0158.jpg,whale118
159,train0159,images/train0159.jpg,349,115,top,2019-08-28,2019-08-28 12:28:32,whale108,whale108-001,38,0,train0159.jpg,whale108
160,train0160,images/train0160.jpg,453,127,top,2019-09-27,2019-09-27 14:29:18,whale119,whale119-000,4,0,train0160.jpg,whale119
161,train0161,images/train0161.jpg,521,221,top,2018-08-12,2018-08-12 00:26:37,whale120,whale120-000,8,0,train0161.jpg,whale120
162,train0162,images/train0162.jpg,487,175,top,2019-08-29,2019-08-29 13:18:10,whale066,whale066-000,92,0,train0162.jpg,whale066
163,train0163,images/train0163.jpg,428,157,top,2018-08-10,2018-08-10 22:02:41,whale121,whale121-000,11,0,train0163.jpg,whale121
164,train0164,images/train0164.jpg,293,154,top,2018-08-29,2018-08-29 23:45:39,whale122,whale122-000,19,0,train0164.jpg,whale122
165,train0165,images/train0165.jpg,515,195,top,2019-08-29,2019-08-29 13:18:27,whale082,whale082-000,62,0,train0165.jpg,whale082
166,train0166,images/train0166.jpg,592,194,top,2018-08-25,2018-08-25 22:19:25,whale028,whale028-000,59,0,train0166.jpg,whale028
167,train0167,images/train0167.jpg,470,158,top,2018-08-10,2018-08-10 21:48:28,whale070,whale070-000,15,0,train0167.jpg,whale070
168,train0168,images/train0168.jpg,400,136,top,2017-08-05,2017-08-05 21:29:42,whale123,whale123-000,2,1,train0168.jpg,whale123
169,train0169,images/train0169.jpg,272,987,left,2017-08-05,2017-08-05 21:24:37,whale124,whale124-000,3,0,train0169.jpg,whale124
170,train0170,images/train0170.jpg,259,93,top,2019-08-30,2019-08-30 15:08:37,whale125,whale125-000,20,0,train0170.jpg,whale125
171,train0171,images/train0171.jpg,381,116,top,2019-08-31,2019-08-31 20:44:24,whale126,whale126-000,31,0,train0171.jpg,whale126
172,train0172,images/train0172.jpg,673,230,top,2017-08-19,2017-08-19 20:07:28,whale127,whale127-000,6,0,train0172.jpg,whale127
173,train0173,images/train0173.jpg,643,193,top,2018-08-30,2018-08-30 00:53:31,whale073,whale073-000,54,0,train0173.jpg,whale073
174,train0174,images/train0174.jpg,656,212,top,2018-08-30,2018-08-30 00:24:55,whale073,whale073-000,54,0,train0174.jpg,whale073
175,train0175,images/train0175.jpg,561,209,top,2018-08-09,2018-08-09 18:54:09,whale128,whale128-000,3,0,train0175.jpg,whale128
176,train0176,images/train0176.jpg,536,192,top,2017-08-04,2017-08-04 21:20:30,whale129,whale129-000,4,1,train0176.jpg,whale129
177,train0177,images/train0177.jpg,418,112,top,2018-08-10,2018-08-10 22:49:54,whale130,whale130-000,10,0,train0177.jpg,whale130
178,train0178,images/train0178.jpg,439,112,top,2019-08-30,2019-08-30 15:06:50,whale033,whale033-000,16,1,train0178.jpg,whale033
179,train0179,images/train0179.jpg,343,1616,right,2017-08-05,2017-08-05 21:23:41,whale017,whale017-001,6,0,train0179.jpg,whale017
180,train0180,images/train0180.jpg,399,135,top,2019-08-30,2019-08-30 15:30:21,whale131,whale131-000,15,0,train0180.jpg,whale131
181,train0181,images/train0181.jpg,789,3206,right,2017-08-07,2017-08-07 20:55:03,whale132,whale132-000,12,0,train0181.jpg,whale132
182,train0182,images/train0182.jpg,529,167,top,2018-08-30,2018-08-30 00:24:07,whale093,whale093-002,106,0,train0182.jpg,whale093
183,train0183,images/train0183.jpg,469,159,top,2018-08-30,2018-08-30 00:12:07,whale133,whale133-000,37,0,train0183.jpg,whale133
184,train0184,images/train0184.jpg,384,111,top,2018-08-30,2018-08-30 00:23:37,whale093,whale093-002,106,0,train0184.jpg,whale093
185,train0185,images/train0185.jpg,485,140,top,2019-08-26,2019-08-26 10:43:17,whale134,whale134-000,3,0,train0185.jpg,whale134
186,train0186,images/train0186.jpg,209,113,top,2018-08-12,2018-08-12 01:33:30,whale135,whale135-000,5,0,train0186.jpg,whale135
187,train0187,images/train0187.jpg,716,278,top,2017-08-25,2017-08-25 02:03:35,whale136,whale136-000,33,0,train0187.jpg,whale136
188,train0188,images/train0188.jpg,330,140,top,2019-08-28,2019-08-28 12:16:45,whale116,whale116-000,14,0,train0188.jpg,whale116
189,train0189,images/train0189.jpg,161,1241,left,2017-08-22,2017-08-22 22:06:06,whale137,whale137-000,2,0,train0189.jpg,whale137
190,train0190,images/train0190.jpg,167,1024,right,2017-08-05,2017-08-05 20:39:10,whale138,whale138-000,6,0,train0190.jpg,whale138
191,train0191,images/train0191.jpg,333,101,top,2019-08-31,2019-08-31 21:19:07,whale139,whale139-000,3,0,train0191.jpg,whale139
192,train0192,images/train0192.jpg,572,203,top,2017-08-24,2017-08-24 21:31:12,whale140,whale140-000,4,1,train0192.jpg,whale140
193,train0193,images/train0193.jpg,425,2048,right,2017-08-04,2017-08-04 19:47:20,whale141,whale141-000,6,0,train0193.jpg,whale141
194,train0194,images/train0194.jpg,409,194,top,2018-08-09,2018-08-09 19:01:39,whale142,whale142-000,17,0,train0194.jpg,whale142
195,train0195,images/train0195.jpg,773,245,top,2018-08-29,2018-08-29 23:42:02,whale136,whale136-001,33,0,train0195.jpg,whale136
196,train0196,images/train0196.jpg,310,1397,right,2017-08-07,2017-08-07 20:34:24,whale093,whale093-003,106,0,train0196.jpg,whale093
197,train0197,images/train0197.jpg,786,169,top,2018-08-29,2018-08-29 23:56:01,whale093,whale093-002,106,0,train0197.jpg,whale093
198,train0198,images/train0198.jpg,366,120,top,2017-08-19,2017-08-19 20:59:15,whale143,whale143-000,39,0,train0198.jpg,whale143
199,train0199,images/train0199.jpg,372,136,top,2017-08-04,2017-08-04 00:00:00,whale144,whale144-000,5,0,train0199.jpg,whale144
200,train0200,images/train0200.jpg,409,160,top,2018-08-25,2018-08-25 23:33:09,whale145,whale145-000,17,0,train0200.jpg,whale145
201,train0201,images/train0201.jpg,276,106,top,2017-08-03,2017-08-03 18:39:38,whale146,whale146-000,8,0,train0201.jpg,whale146
202,train0202,images/train0202.jpg,548,187,top,2018-08-10,2018-08-10 22:44:56,whale093,whale093-004,106,0,train0202.jpg,whale093
203,train0203,images/train0203.jpg,1357,6413,left,2017-08-03,2017-08-03 20:26:55,whale147,whale147-000,7,0,train0203.jpg,whale147
